time,open,high,low,close,volume,ticker
2018-08-07,4.84,4.84,4.84,4.84,0,PRC
2018-08-08,4.84,4.84,4.84,4.84,0,PRC
2018-08-09,4.84,4.84,4.84,4.84,0,PRC
2018-08-10,4.84,4.84,4.84,4.84,0,PRC
2018-08-13,4.84,4.84,4.84,4.84,0,PRC
2018-08-14,4.84,4.84,4.84,4.84,0,PRC
2018-08-15,4.84,4.84,4.84,4.84,0,PRC
2018-08-16,4.84,4.84,4.84,4.84,0,PRC
2018-08-17,4.84,4.84,4.84,4.84,0,PRC
2018-08-20,4.77,4.77,4.77,4.77,4000,PRC
2018-08-21,4.77,4.77,4.77,4.77,0,PRC
2018-08-22,4.77,4.77,4.77,4.77,0,PRC
2018-08-23,4.77,4.77,4.77,4.77,0,PRC
2018-08-24,4.77,4.77,4.77,4.77,0,PRC
2018-08-27,4.77,4.77,4.77,4.77,0,PRC
2018-08-28,4.77,4.77,4.77,4.77,0,PRC
2018-08-29,4.77,4.77,4.77,4.77,0,PRC
2018-08-30,4.77,4.77,4.77,4.77,0,PRC
2018-08-31,4.77,4.77,4.77,4.77,0,PRC
2018-09-04,4.77,4.77,4.77,4.77,0,PRC
2018-09-05,4.77,4.77,4.77,4.77,0,PRC
2018-09-06,4.77,4.77,4.77,4.77,0,PRC
2018-09-07,4.77,4.77,4.77,4.77,0,PRC
2018-09-10,4.77,4.77,4.77,4.77,0,PRC
2018-09-11,4.77,4.77,4.77,4.77,0,PRC
2018-09-12,4.77,4.77,4.77,4.77,0,PRC
2018-09-13,4.77,4.77,4.77,4.77,0,PRC
2018-09-14,4.77,4.77,4.77,4.77,0,PRC
2018-09-17,4.77,4.77,4.77,4.77,0,PRC
2018-09-18,4.77,4.77,4.77,4.77,0,PRC
2018-09-19,4.77,4.77,4.77,4.77,0,PRC
2018-09-20,4.77,4.77,4.77,4.77,0,PRC
2018-09-21,4.77,4.77,4.77,4.77,0,PRC
2018-09-24,4.77,4.77,4.77,4.77,0,PRC
2018-09-25,4.77,4.77,4.77,4.77,0,PRC
2018-09-26,4.77,4.77,4.77,4.77,0,PRC
2018-09-27,4.77,4.77,4.77,4.77,0,PRC
2018-09-28,4.77,4.77,4.77,4.77,0,PRC
2018-10-01,4.77,4.77,4.77,4.77,0,PRC
2018-10-02,4.77,4.77,4.77,4.77,0,PRC
2018-10-03,4.77,4.77,4.77,4.77,0,PRC
2018-10-04,4.77,4.77,4.77,4.77,0,PRC
2018-10-05,4.77,4.77,4.77,4.77,0,PRC
2018-10-08,4.77,4.77,4.77,4.77,0,PRC
2018-10-09,4.77,4.77,4.77,4.77,0,PRC
2018-10-10,4.77,4.77,4.77,4.77,0,PRC
2018-10-11,4.77,4.77,4.77,4.77,0,PRC
2018-10-12,4.77,4.77,4.77,4.77,0,PRC
2018-10-15,4.77,4.77,4.77,4.77,0,PRC
2018-10-16,4.77,4.77,4.77,4.77,0,PRC
2018-10-17,4.77,4.77,4.77,4.77,0,PRC
2018-10-18,4.77,4.77,4.77,4.77,0,PRC
2018-10-19,4.77,4.77,4.77,4.77,0,PRC
2018-10-22,4.77,4.77,4.77,4.77,0,PRC
2018-10-23,4.77,4.77,4.77,4.77,0,PRC
2018-10-24,4.77,4.77,4.77,4.77,0,PRC
2018-10-25,4.77,4.77,4.77,4.77,0,PRC
2018-10-26,4.77,4.77,4.77,4.77,0,PRC
2018-10-29,4.77,4.77,4.77,4.77,0,PRC
2018-10-30,4.77,4.77,4.77,4.77,0,PRC
2018-10-31,4.77,4.77,4.77,4.77,0,PRC
2018-11-01,4.77,4.77,4.77,4.77,0,PRC
2018-11-02,4.77,4.77,4.77,4.77,0,PRC
2018-11-05,4.77,4.77,4.77,4.77,0,PRC
2018-11-06,4.77,4.77,4.77,4.77,0,PRC
2018-11-07,4.77,4.77,4.77,4.77,0,PRC
2018-11-08,4.77,4.77,4.77,4.77,0,PRC
2018-11-09,4.77,4.77,4.77,4.77,0,PRC
2018-11-12,4.77,4.77,4.77,4.77,0,PRC
2018-11-13,4.77,4.77,4.77,4.77,0,PRC
2018-11-14,4.77,4.77,4.77,4.77,0,PRC
2018-11-15,4.77,4.77,4.77,4.77,0,PRC
2018-11-16,4.77,4.77,4.77,4.77,0,PRC
2018-11-19,4.77,4.77,4.77,4.77,0,PRC
2018-11-20,4.77,4.77,4.77,4.77,0,PRC
2018-11-21,4.77,4.77,4.77,4.77,0,PRC
2018-11-22,4.77,4.77,4.77,4.77,0,PRC
2018-11-23,4.77,4.77,4.77,4.77,0,PRC
2018-11-26,4.77,4.77,4.77,4.77,0,PRC
2018-11-27,4.77,4.77,4.77,4.77,0,PRC
2018-11-28,4.77,4.77,4.77,4.77,0,PRC
2018-11-29,4.77,4.77,4.77,4.77,0,PRC
2018-11-30,4.77,4.77,4.77,4.77,0,PRC
2018-12-03,4.29,4.29,4.29,4.29,7500,PRC
2018-12-04,4.29,4.29,4.29,4.29,0,PRC
2018-12-05,4.29,4.29,4.29,4.29,0,PRC
2018-12-06,4.29,4.29,4.29,4.29,0,PRC
2018-12-07,4.29,4.29,4.29,4.29,0,PRC
2018-12-10,4.29,4.29,4.29,4.29,0,PRC
2018-12-11,4.29,4.29,4.29,4.29,0,PRC
2018-12-12,4.29,4.29,4.29,4.29,0,PRC
2018-12-13,4.29,4.29,4.29,4.29,0,PRC
2018-12-14,4.29,4.29,4.29,4.29,0,PRC
2018-12-17,4.29,4.29,4.29,4.29,0,PRC
2018-12-18,4.29,4.29,4.29,4.29,0,PRC
2018-12-19,4.29,4.29,4.29,4.29,0,PRC
2018-12-20,4.29,4.29,4.29,4.29,0,PRC
2018-12-21,4.29,4.29,4.29,4.29,0,PRC
2018-12-24,4.29,4.29,4.29,4.29,0,PRC
2018-12-25,4.29,4.29,4.29,4.29,0,PRC
2018-12-26,4.29,4.29,4.29,4.29,0,PRC
2018-12-27,4.29,4.29,4.29,4.29,0,PRC
2018-12-28,4.29,4.29,4.29,4.29,0,PRC
2019-01-02,4.29,4.29,4.29,4.29,0,PRC
2019-01-03,4.29,4.29,4.29,4.29,0,PRC
2019-01-04,4.29,4.29,4.29,4.29,0,PRC
2019-01-07,4.29,4.29,4.29,4.29,0,PRC
2019-01-08,4.29,4.29,4.29,4.29,0,PRC
2019-01-09,4.29,4.29,4.29,4.29,0,PRC
2019-01-10,4.29,4.29,4.29,4.29,0,PRC
2019-01-11,4.29,4.29,4.29,4.29,0,PRC
2019-01-14,4.29,4.29,4.29,4.29,0,PRC
2019-01-15,4.29,4.29,4.29,4.29,0,PRC
2019-01-16,4.29,4.29,4.29,4.29,0,PRC
2019-01-17,4.29,4.29,4.29,4.29,0,PRC
2019-01-18,4.29,4.29,4.29,4.29,0,PRC
2019-01-21,4.29,4.29,4.29,4.29,0,PRC
2019-01-22,4.29,4.29,4.29,4.29,0,PRC
2019-01-23,4.29,4.29,4.29,4.29,0,PRC
2019-01-24,4.29,4.29,4.29,4.29,0,PRC
2019-01-25,4.29,4.29,4.29,4.29,0,PRC
2019-01-28,4.29,4.29,4.29,4.29,0,PRC
2019-01-29,4.29,4.29,4.29,4.29,0,PRC
2019-01-30,4.69,4.69,4.69,4.69,100,PRC
2019-01-31,4.69,4.69,4.69,4.69,0,PRC
2019-02-01,4.69,4.69,4.69,4.69,0,PRC
2019-02-11,4.69,4.69,4.69,4.69,0,PRC
2019-02-12,4.69,4.69,4.69,4.69,0,PRC
2019-02-13,4.69,4.69,4.69,4.69,0,PRC
2019-02-14,4.69,4.69,4.69,4.69,0,PRC
2019-02-15,4.69,4.69,4.69,4.69,0,PRC
2019-02-18,4.69,4.69,4.69,4.69,0,PRC
2019-02-19,4.69,4.69,4.69,4.69,0,PRC
2019-02-20,4.69,4.69,4.69,4.69,0,PRC
2019-02-21,4.69,4.69,4.69,4.69,0,PRC
2019-02-22,4.69,4.69,4.69,4.69,0,PRC
2019-02-25,4.69,4.69,4.69,4.69,0,PRC
2019-02-26,4.69,4.69,4.69,4.69,0,PRC
2019-02-27,4.69,4.69,4.69,4.69,0,PRC
2019-02-28,4.69,4.69,4.69,4.69,0,PRC
2019-03-01,4.69,4.69,4.69,4.69,0,PRC
2019-03-04,4.69,4.69,4.69,4.69,0,PRC
2019-03-05,4.69,4.69,4.69,4.69,0,PRC
2019-03-06,4.69,4.69,4.69,4.69,0,PRC
2019-03-07,4.69,4.69,4.69,4.69,0,PRC
2019-03-08,4.69,4.69,4.69,4.69,0,PRC
2019-03-11,4.69,4.69,4.69,4.69,0,PRC
2019-03-12,4.69,4.69,4.69,4.69,0,PRC
2019-03-13,4.69,4.69,4.69,4.69,0,PRC
2019-03-14,4.69,4.69,4.69,4.69,0,PRC
2019-03-15,4.69,4.69,4.69,4.69,0,PRC
2019-03-18,4.69,4.69,4.69,4.69,0,PRC
2019-03-19,4.69,4.69,4.69,4.69,0,PRC
2019-03-20,4.69,4.69,4.69,4.69,0,PRC
2019-03-21,4.69,4.69,4.69,4.69,0,PRC
2019-03-22,4.69,4.69,4.69,4.69,0,PRC
2019-03-25,4.69,4.69,4.69,4.69,0,PRC
2019-03-26,4.69,4.69,4.69,4.69,0,PRC
2019-03-27,4.69,4.69,4.69,4.69,0,PRC
2019-03-28,4.69,4.69,4.69,4.69,0,PRC
2019-03-29,4.69,4.69,4.69,4.69,0,PRC
2019-04-01,4.69,4.69,4.69,4.69,0,PRC
2019-04-02,4.69,4.69,4.69,4.69,0,PRC
2019-04-03,4.69,4.69,4.69,4.69,0,PRC
2019-04-04,4.69,4.69,4.69,4.69,0,PRC
2019-04-05,4.69,4.69,4.69,4.69,0,PRC
2019-04-08,4.69,4.69,4.69,4.69,0,PRC
2019-04-09,4.69,4.69,4.69,4.69,0,PRC
2019-04-10,4.69,4.69,4.69,4.69,0,PRC
2019-04-11,4.25,4.25,4.25,4.25,200,PRC
2019-04-12,4.25,4.25,4.25,4.25,0,PRC
2019-04-16,4.25,4.25,4.25,4.25,0,PRC
2019-04-17,4.25,4.25,4.25,4.25,0,PRC
2019-04-18,4.25,4.25,4.25,4.25,0,PRC
2019-04-19,4.25,4.25,4.25,4.25,0,PRC
2019-04-22,4.25,4.25,4.25,4.25,0,PRC
2019-04-23,4.25,4.25,4.25,4.25,0,PRC
2019-04-24,4.25,4.25,4.25,4.25,0,PRC
2019-04-25,4.45,4.45,4.45,4.45,0,PRC
2019-04-26,4.45,4.45,4.45,4.45,0,PRC
2019-05-02,4.45,4.45,4.45,4.45,0,PRC
2019-05-03,4.45,4.45,4.45,4.45,0,PRC
2019-05-06,4.45,4.45,4.45,4.45,0,PRC
2019-05-07,4.45,4.45,4.45,4.45,0,PRC
2019-05-08,4.45,4.45,4.45,4.45,0,PRC
2019-05-09,4.45,4.45,4.45,4.45,0,PRC
2019-05-10,4.45,4.45,4.45,4.45,0,PRC
2019-05-13,4.45,4.45,4.45,4.45,0,PRC
2019-05-14,4.45,4.45,4.45,4.45,0,PRC
2019-05-15,4.45,4.45,4.45,4.45,0,PRC
2019-05-16,4.45,4.45,4.45,4.45,0,PRC
2019-05-17,4.45,4.45,4.45,4.45,0,PRC
2019-05-20,4.45,4.45,4.45,4.45,0,PRC
2019-05-21,4.45,4.45,4.45,4.45,0,PRC
2019-05-22,4.45,4.45,4.45,4.45,0,PRC
2019-05-23,4.45,4.45,4.45,4.45,0,PRC
2019-05-24,4.45,4.45,4.45,4.45,0,PRC
2019-05-27,4.45,4.45,4.45,4.45,0,PRC
2019-05-28,4.45,4.45,4.45,4.45,0,PRC
2019-05-29,4.45,4.45,4.45,4.45,0,PRC
2019-05-30,4.45,4.45,4.45,4.45,0,PRC
2019-05-31,4.45,4.45,4.45,4.45,0,PRC
2019-06-03,4.45,4.45,4.45,4.45,0,PRC
2019-06-04,4.45,4.45,4.45,4.45,0,PRC
2019-06-05,4.45,4.45,4.45,4.45,0,PRC
2019-06-06,4.45,4.45,4.45,4.45,0,PRC
2019-06-07,4.45,4.45,4.45,4.45,0,PRC
2019-06-10,4.45,4.45,4.45,4.45,0,PRC
2019-06-11,4.45,4.45,4.45,4.45,0,PRC
2019-06-12,4.45,4.45,4.45,4.45,0,PRC
2019-06-13,4.45,4.45,4.45,4.45,0,PRC
2019-06-14,4.45,4.45,4.45,4.45,0,PRC
2019-06-17,4.45,4.45,4.45,4.45,0,PRC
2019-06-18,4.45,4.45,4.45,4.45,0,PRC
2019-06-19,4.45,4.45,4.45,4.45,0,PRC
2019-06-20,4.25,4.25,4.25,4.25,0,PRC
2019-06-21,4.25,4.25,4.25,4.25,0,PRC
2019-06-24,4.45,4.45,4.45,4.45,0,PRC
2019-06-25,4.45,4.45,4.45,4.45,0,PRC
2019-06-26,4.02,4.02,4.02,4.02,5000,PRC
2019-06-27,4.02,4.02,4.02,4.02,0,PRC
2019-06-28,4.02,4.02,4.02,4.02,0,PRC
2019-07-01,4.02,4.02,4.02,4.02,0,PRC
2019-07-02,4.02,4.02,4.02,4.02,0,PRC
2019-07-03,4.02,4.02,4.02,4.02,0,PRC
2019-07-04,4.02,4.02,4.02,4.02,0,PRC
2019-07-05,4.02,4.02,4.02,4.02,0,PRC
2019-07-08,4.02,4.02,4.02,4.02,0,PRC
2019-07-09,4.02,4.02,4.02,4.02,0,PRC
2019-07-10,4.02,4.02,4.02,4.02,0,PRC
2019-07-11,4.02,4.02,4.02,4.02,0,PRC
2019-07-12,4.02,4.02,4.02,4.02,0,PRC
2019-07-15,4.02,4.02,4.02,4.02,0,PRC
2019-07-16,4.02,4.02,4.02,4.02,0,PRC
2019-07-17,4.02,4.02,4.02,4.02,0,PRC
2019-07-18,4.02,4.02,4.02,4.02,0,PRC
2019-07-19,4.02,4.02,4.02,4.02,0,PRC
2019-07-22,4.02,4.02,4.02,4.02,0,PRC
2019-07-23,4.02,4.02,4.02,4.02,0,PRC
2019-07-24,4.02,4.02,4.02,4.02,0,PRC
2019-07-25,4.02,4.02,4.02,4.02,0,PRC
2019-07-26,4.02,4.02,4.02,4.02,0,PRC
2019-07-29,4.02,4.02,4.02,4.02,0,PRC
2019-07-30,4.02,4.02,4.02,4.02,0,PRC
2019-07-31,4.02,4.02,4.02,4.02,0,PRC
2019-08-01,4.02,4.02,4.02,4.02,0,PRC
2019-08-02,4.02,4.02,4.02,4.02,0,PRC
2019-08-05,4.02,4.02,4.02,4.02,0,PRC
2019-08-06,4.02,4.02,4.02,4.02,0,PRC
2019-08-07,4.02,4.02,4.02,4.02,0,PRC
2019-08-08,4.02,4.02,4.02,4.02,0,PRC
2019-08-09,4.02,4.02,4.02,4.02,0,PRC
2019-08-12,4.02,4.02,4.02,4.02,0,PRC
2019-08-13,4.02,4.02,4.02,4.02,0,PRC
2019-08-14,4.02,4.02,4.02,4.02,0,PRC
2019-08-15,4.02,4.02,4.02,4.02,0,PRC
2019-08-16,4.02,4.02,4.02,4.02,0,PRC
2019-08-19,4.02,4.02,4.02,4.02,0,PRC
2019-08-20,4.02,4.02,4.02,4.02,0,PRC
2019-08-21,4.02,4.02,4.02,4.02,0,PRC
2019-08-22,4.02,4.02,4.02,4.02,0,PRC
2019-08-23,4.02,4.02,4.02,4.02,0,PRC
2019-08-26,4.02,4.02,4.02,4.02,0,PRC
2019-08-27,4.02,4.02,4.02,4.02,0,PRC
2019-08-28,4.02,4.02,4.02,4.02,0,PRC
2019-08-29,4.02,4.02,4.02,4.02,0,PRC
2019-08-30,4.02,4.02,4.02,4.02,0,PRC
2019-09-03,4.02,4.02,4.02,4.02,0,PRC
2019-09-04,4.02,4.02,4.02,4.02,0,PRC
2019-09-05,4.02,4.02,4.02,4.02,0,PRC
2019-09-06,4.02,4.02,4.02,4.02,0,PRC
2019-09-09,4.02,4.02,4.02,4.02,0,PRC
2019-09-10,4.02,4.02,4.02,4.02,0,PRC
2019-09-11,4.02,4.02,4.02,4.02,0,PRC
2019-09-12,4.02,4.02,4.02,4.02,0,PRC
2019-09-13,4.02,4.02,4.02,4.02,0,PRC
2019-09-16,4.02,4.02,4.02,4.02,0,PRC
2019-09-17,4.02,4.02,4.02,4.02,0,PRC
2019-09-18,4.02,4.02,4.02,4.02,0,PRC
2019-09-19,4.02,4.02,4.02,4.02,0,PRC
2019-09-20,4.02,4.02,4.02,4.02,0,PRC
2019-09-23,4.02,4.02,4.02,4.02,0,PRC
2019-09-24,4.02,4.02,4.02,4.02,0,PRC
2019-09-25,4.02,4.02,4.02,4.02,0,PRC
2019-09-26,4.02,4.02,4.02,4.02,0,PRC
2019-09-27,4.02,4.02,4.02,4.02,0,PRC
2019-09-30,4.02,4.02,4.02,4.02,0,PRC
2019-10-01,4.02,4.02,4.02,4.02,0,PRC
2019-10-02,4.02,4.02,4.02,4.02,0,PRC
2019-10-03,4.02,4.02,4.02,4.02,0,PRC
2019-10-04,4.02,4.02,4.02,4.02,0,PRC
2019-10-07,4.02,4.02,4.02,4.02,0,PRC
2019-10-08,4.02,4.02,4.02,4.02,0,PRC
2019-10-09,4.02,4.02,4.02,4.02,0,PRC
2019-10-10,4.02,4.02,4.02,4.02,0,PRC
2019-10-11,4.02,4.02,4.02,4.02,0,PRC
2019-10-14,4.02,4.02,4.02,4.02,0,PRC
2019-10-15,4.02,4.02,4.02,4.02,0,PRC
2019-10-16,4.02,4.02,4.02,4.02,0,PRC
2019-10-17,4.02,4.02,4.02,4.02,0,PRC
2019-10-18,4.02,4.02,4.02,4.02,0,PRC
2019-10-21,4.02,4.02,4.02,4.02,0,PRC
2019-10-22,4.02,4.02,4.02,4.02,0,PRC
2019-10-23,4.02,4.02,4.02,4.02,0,PRC
2019-10-24,4.02,4.02,4.02,4.02,0,PRC
2019-10-25,4.02,4.02,4.02,4.02,0,PRC
2019-10-28,4.02,4.02,4.02,4.02,0,PRC
2019-10-29,4.02,4.02,4.02,4.02,0,PRC
2019-10-30,4.02,4.02,4.02,4.02,0,PRC
2019-10-31,4.02,4.02,4.02,4.02,0,PRC
2019-11-01,4.02,4.02,4.02,4.02,0,PRC
2019-11-04,4.02,4.02,4.02,4.02,0,PRC
2019-11-05,4.02,4.02,4.02,4.02,100,PRC
2019-11-06,4.02,4.02,4.02,4.02,0,PRC
2019-11-07,4.02,4.02,4.02,4.02,0,PRC
2019-11-08,4.02,4.02,4.02,4.02,0,PRC
2019-11-11,4.02,4.02,4.02,4.02,0,PRC
2019-11-12,4.02,4.02,4.02,4.02,0,PRC
2019-11-13,4.02,4.02,4.02,4.02,0,PRC
2019-11-14,4.02,4.02,4.02,4.02,0,PRC
2019-11-15,4.02,4.02,4.02,4.02,0,PRC
2019-11-18,4.02,4.02,4.02,4.02,0,PRC
2019-11-19,4.02,4.02,4.02,4.02,0,PRC
2019-11-20,4.02,4.02,4.02,4.02,0,PRC
2019-11-21,4.02,4.02,4.02,4.02,0,PRC
2019-11-22,4.02,4.02,4.02,4.02,0,PRC
2019-11-25,4.02,4.02,4.02,4.02,0,PRC
2019-11-26,4.02,4.02,4.02,4.02,0,PRC
2019-11-27,4.02,4.02,4.02,4.02,0,PRC
2019-11-28,4.02,4.02,4.02,4.02,0,PRC
2019-11-29,4.02,4.02,4.02,4.02,0,PRC
2019-12-02,4.02,4.02,4.02,4.02,0,PRC
2019-12-03,4.02,4.02,4.02,4.02,0,PRC
2019-12-04,4.02,4.02,4.02,4.02,0,PRC
2019-12-05,4.02,4.02,4.02,4.02,0,PRC
2019-12-06,4.02,4.02,4.02,4.02,0,PRC
2019-12-09,4.02,4.02,4.02,4.02,0,PRC
2019-12-10,4.02,4.02,4.02,4.02,0,PRC
2019-12-11,4.02,4.02,4.02,4.02,0,PRC
2019-12-12,4.02,4.02,4.02,4.02,0,PRC
2019-12-13,4.02,4.02,4.02,4.02,0,PRC
2019-12-16,4.02,4.02,4.02,4.02,0,PRC
2019-12-17,4.02,4.02,4.02,4.02,0,PRC
2019-12-18,4.02,4.02,4.02,4.02,0,PRC
2019-12-19,4.02,4.02,4.02,4.02,0,PRC
2019-12-20,4.02,4.02,4.02,4.02,0,PRC
2019-12-23,4.02,4.02,4.02,4.02,0,PRC
2019-12-24,4.02,4.02,4.02,4.02,0,PRC
2019-12-25,4.02,4.02,4.02,4.02,0,PRC
2019-12-26,4.02,4.02,4.02,4.02,0,PRC
2019-12-27,4.02,4.02,4.02,4.02,0,PRC
2019-12-30,4.02,4.02,4.02,4.02,0,PRC
2019-12-31,4.02,4.02,4.02,4.02,0,PRC
2020-01-02,4.02,4.02,4.02,4.02,0,PRC
2020-01-03,4.02,4.02,4.02,4.02,0,PRC
2020-01-06,4.02,4.02,4.02,4.02,0,PRC
2020-01-07,4.02,4.02,4.02,4.02,0,PRC
2020-01-08,4.02,4.02,4.02,4.02,0,PRC
2020-01-09,4.02,4.02,4.02,4.02,0,PRC
2020-01-10,4.02,4.02,4.02,4.02,0,PRC
2020-01-13,4.02,4.02,4.02,4.02,0,PRC
2020-01-14,4.02,4.02,4.02,4.02,0,PRC
2020-01-15,4.02,4.02,4.02,4.02,0,PRC
2020-01-16,4.02,4.02,4.02,4.02,0,PRC
2020-01-17,4.02,4.02,4.02,4.02,0,PRC
2020-01-20,4.02,4.02,4.02,4.02,0,PRC
2020-01-21,4.02,4.02,4.02,4.02,0,PRC
2020-01-22,4.02,4.02,4.02,4.02,0,PRC
2020-01-30,4.02,4.02,4.02,4.02,0,PRC
2020-01-31,4.02,4.02,4.02,4.02,0,PRC
2020-02-03,4.02,4.02,4.02,4.02,0,PRC
2020-02-04,4.02,4.02,4.02,4.02,0,PRC
2020-02-05,4.02,4.02,4.02,4.02,0,PRC
2020-02-06,4.02,4.02,4.02,4.02,0,PRC
2020-02-07,4.02,4.02,4.02,4.02,0,PRC
2020-02-10,4.02,4.02,4.02,4.02,0,PRC
2020-02-11,4.02,4.02,4.02,4.02,0,PRC
2020-02-12,4.02,4.02,4.02,4.02,0,PRC
2020-02-13,4.02,4.02,4.02,4.02,0,PRC
2020-02-14,4.02,4.02,4.02,4.02,0,PRC
2020-02-17,4.02,4.02,4.02,4.02,0,PRC
2020-02-18,4.02,4.02,4.02,4.02,0,PRC
2020-02-19,4.02,4.02,4.02,4.02,0,PRC
2020-02-20,4.02,4.02,4.02,4.02,0,PRC
2020-02-21,4.02,4.02,4.02,4.02,0,PRC
2020-02-24,4.02,4.02,4.02,4.02,0,PRC
2020-02-25,4.02,4.02,4.02,4.02,0,PRC
2020-02-26,4.02,4.02,4.02,4.02,0,PRC
2020-02-27,4.02,4.02,4.02,4.02,0,PRC
2020-02-28,4.02,4.02,4.02,4.02,0,PRC
2020-03-02,4.02,4.02,4.02,4.02,0,PRC
2020-03-03,4.02,4.02,4.02,4.02,0,PRC
2020-03-04,4.02,4.02,4.02,4.02,0,PRC
2020-03-05,4.02,4.02,4.02,4.02,0,PRC
2020-03-06,4.02,4.02,4.02,4.02,0,PRC
2020-03-09,4.02,4.02,4.02,4.02,0,PRC
2020-03-10,4.02,4.02,4.02,4.02,0,PRC
2020-03-11,4.02,4.02,4.02,4.02,0,PRC
2020-03-12,4.02,4.02,4.02,4.02,0,PRC
2020-03-13,4.02,4.02,4.02,4.02,0,PRC
2020-03-16,4.02,4.02,4.02,4.02,0,PRC
2020-03-17,4.02,4.02,4.02,4.02,0,PRC
2020-03-18,4.02,4.02,4.02,4.02,0,PRC
2020-03-19,4.02,4.02,4.02,4.02,0,PRC
2020-03-20,4.02,4.02,4.02,4.02,0,PRC
2020-03-23,4.02,4.02,4.02,4.02,0,PRC
2020-03-24,4.02,4.02,4.02,4.02,0,PRC
2020-03-25,4.02,4.02,4.02,4.02,0,PRC
2020-03-26,4.02,4.02,4.02,4.02,0,PRC
2020-03-27,4.02,4.02,4.02,4.02,0,PRC
2020-03-30,4.02,4.02,4.02,4.02,0,PRC
2020-03-31,4.02,4.02,4.02,4.02,0,PRC
2020-04-01,4.02,4.02,4.02,4.02,0,PRC
2020-04-03,4.02,4.02,4.02,4.02,0,PRC
2020-04-06,4.02,4.02,4.02,4.02,0,PRC
2020-04-07,4.02,4.02,4.02,4.02,0,PRC
2020-04-08,4.02,4.02,4.02,4.02,0,PRC
2020-04-09,4.02,4.02,4.02,4.02,0,PRC
2020-04-10,4.02,4.02,4.02,4.02,0,PRC
2020-04-13,4.02,4.02,4.02,4.02,0,PRC
2020-04-14,4.02,4.02,4.02,4.02,0,PRC
2020-04-15,4.02,4.02,4.02,4.02,0,PRC
2020-04-16,4.02,4.02,4.02,4.02,0,PRC
2020-04-17,4.02,4.02,4.02,4.02,0,PRC
2020-04-20,4.02,4.02,4.02,4.02,0,PRC
2020-04-21,4.02,4.02,4.02,4.02,0,PRC
2020-04-22,4.02,4.02,4.02,4.02,0,PRC
2020-04-23,4.02,4.02,4.02,4.02,0,PRC
2020-04-24,4.02,4.02,4.02,4.02,0,PRC
2020-04-27,4.45,4.45,4.45,4.45,0,PRC
2020-04-28,4.45,4.45,4.45,4.45,0,PRC
2020-04-29,4.45,4.45,4.45,4.45,0,PRC
2020-05-04,4.45,4.45,4.45,4.45,0,PRC
2020-05-05,4.45,4.45,4.45,4.45,0,PRC
2020-05-06,4.45,4.45,4.45,4.45,0,PRC
2020-05-07,4.45,4.45,4.45,4.45,0,PRC
2020-05-08,4.45,4.45,4.45,4.45,0,PRC
2020-05-11,4.45,4.45,4.45,4.45,0,PRC
2020-05-12,4.45,4.45,4.45,4.45,0,PRC
2020-05-13,4.45,4.45,4.45,4.45,0,PRC
2020-05-14,4.45,4.45,4.45,4.45,0,PRC
2020-05-15,4.45,4.45,4.45,4.45,0,PRC
2020-05-18,4.45,4.45,4.45,4.45,0,PRC
2020-05-19,4.45,4.45,4.45,4.45,0,PRC
2020-05-20,4.45,4.45,4.45,4.45,0,PRC
2020-05-21,4.45,4.45,4.45,4.45,0,PRC
2020-05-22,4.45,4.45,4.45,4.45,0,PRC
2020-05-25,4.45,4.45,4.45,4.45,0,PRC
2020-05-26,4.45,4.45,4.45,4.45,0,PRC
2020-05-27,4.45,4.45,4.45,4.45,0,PRC
2020-05-28,4.45,4.45,4.45,4.45,0,PRC
2020-05-29,4.45,4.45,4.45,4.45,0,PRC
2020-06-01,4.45,4.45,4.45,4.45,0,PRC
2020-06-02,4.45,4.45,4.45,4.45,0,PRC
2020-06-03,4.45,4.45,4.45,4.45,0,PRC
2020-06-04,4.45,4.45,4.45,4.45,0,PRC
2020-06-05,4.45,4.45,4.45,4.45,0,PRC
2020-06-08,4.45,4.45,4.45,4.45,0,PRC
2020-06-09,4.45,4.45,4.45,4.45,0,PRC
2020-06-10,4.45,4.45,4.45,4.45,0,PRC
2020-06-11,4.45,4.45,4.45,4.45,0,PRC
2020-06-12,4.45,4.45,4.45,4.45,0,PRC
2020-06-15,4.45,4.45,4.45,4.45,0,PRC
2020-06-16,4.45,4.45,4.45,4.45,0,PRC
2020-06-17,4.45,4.45,4.45,4.45,0,PRC
2020-06-18,4.45,4.45,4.45,4.45,0,PRC
2020-06-19,4.45,4.45,4.45,4.45,0,PRC
2020-06-22,4.45,4.45,4.45,4.45,0,PRC
2020-06-23,4.45,4.45,4.45,4.45,0,PRC
2020-06-24,4.45,4.45,4.45,4.45,0,PRC
2020-06-25,4.45,4.45,4.45,4.45,0,PRC
2020-06-26,4.45,4.45,4.45,4.45,0,PRC
2020-06-29,4.45,4.45,4.45,4.45,0,PRC
2020-06-30,4.45,4.45,4.45,4.45,0,PRC
2020-07-01,4.45,4.45,4.45,4.45,0,PRC
2020-07-02,4.45,4.45,4.45,4.45,0,PRC
2020-07-03,4.45,4.45,4.45,4.45,0,PRC
2020-07-06,4.45,4.45,4.45,4.45,0,PRC
2020-07-07,4.45,4.45,4.45,4.45,0,PRC
2020-07-08,4.45,4.45,4.45,4.45,0,PRC
2020-07-09,4.45,4.45,4.45,4.45,0,PRC
2020-07-10,4.45,4.45,4.45,4.45,0,PRC
